UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
112515747,57527,2021-03-04 07:29:23,2021-03-04 07:42:39,Waloñska (Angel Poland Group),Rynek,14
112516057,650549,2021-03-04 07:37:42,2021-03-04 07:43:19,Œlê¿na / Kamienna (Uniw. Ekonomiczny),Plac Powstañców Œl¹skich,6
112515961,650255,2021-03-04 07:35:29,2021-03-04 07:43:24,al. Armii Krajowej / Borowska,Powstañcow Œl¹skich / Aleja Hallera,8
112516063,57690,2021-03-04 07:38:00,2021-03-04 07:43:34,Wyszyñskiego / Szczytnicka,Poza stacj¹,6
112516271,651064,2021-03-04 07:43:10,2021-03-04 07:45:12,Œwieradowska (Ferio Gaj ),Œwieradowska (Ferio Gaj ),3
112515963,650329,2021-03-04 07:35:38,2021-03-04 07:45:20,pl. Powstañców Wielkopolskich,Rynek,10
112515915,57923,2021-03-04 07:34:15,2021-03-04 07:45:27,Grota-Roweckiego / Parafialna,al. Armii Krajowej / Borowska,12
112516329,57168,2021-03-04 07:44:31,2021-03-04 07:45:31,Sienkiewicza / Piastowska,Sienkiewicza / Piastowska,1
112516227,650015,2021-03-04 07:42:01,2021-03-04 07:46:01,Plac Staszica,Plac Œwiêtego Macieja / Trzebnicka,4
112515938,650498,2021-03-04 07:35:05,2021-03-04 07:46:20,Czekoladowa / Wa³brzyska,al. Karkonoska / JeŸdziecka,12
112515670,650090,2021-03-04 07:26:30,2021-03-04 07:46:22,¯eromskiego / Kluczborska,Koszarowa / UWr,20
112515937,650297,2021-03-04 07:35:05,2021-03-04 07:46:27,Grota-Roweckiego / Parafialna,Kamienna / Borowska (Aquapark),12
112516152,650410,2021-03-04 07:40:14,2021-03-04 07:46:37,Plac Œwiêtego Macieja / Trzebnicka,Wyszyñskiego / Szczytnicka,7
112516195,651125,2021-03-04 07:41:11,2021-03-04 07:46:52,al. Armii Krajowej / Borowska,Borowska (Uniw. Szpital Kliniczny),6
112515673,650513,2021-03-04 07:26:36,2021-03-04 07:46:57,¯eromskiego / Kluczborska,Popowicka ,21
112516051,651165,2021-03-04 07:37:29,2021-03-04 07:47:04,Kozanowska/Pa³ucka,Lotnicza / Metalowców,10
112515707,57653,2021-03-04 07:28:08,2021-03-04 07:48:08,Zaporoska / Wielka / Krucza,Nyska / Jesionowa,20
112513074,650435,2021-03-04 00:20:34,2021-03-04 07:48:47,Poza stacj¹,Promenady Wroc³awskie,449
112516213,651264,2021-03-04 07:41:40,2021-03-04 07:49:33,Grota-Roweckiego / Parafialna,Borowska (Uniw. Szpital Kliniczny),8
112515774,650970,2021-03-04 07:30:02,2021-03-04 07:49:55,Poniatowskiego / Oleœnicka,Szczêœliwa (Sky Tower),20
